REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2018/08/01 12:00:00,7671.57,60.47,TRADE
NSW1,2018/08/01 13:00:00,7580.05,58,TRADE
NSW1,2018/08/01 14:00:00,7636.83,57.18,TRADE
NSW1,2018/08/01 15:00:00,7767.75,61.35,TRADE
NSW1,2018/08/01 16:00:00,8075.85,66.18,TRADE
NSW1,2018/08/01 17:00:00,8700.73,74.23,TRADE
NSW1,2018/08/01 18:00:00,9976.96,104.56,TRADE
NSW1,2018/08/01 19:00:00,10220.43,260.91,TRADE
NSW1,2018/08/01 20:00:00,9984.52,99.67,TRADE
NSW1,2018/08/01 21:00:00,9704.38,99.39,TRADE
NSW1,2018/08/01 22:00:00,9184.01,103.18,TRADE
NSW1,2018/08/01 23:00:00,8763.86,73.67,TRADE
NSW1,2018/08/02 00:00:00,8552.59,75.20,TRADE
NSW1,2018/08/02 01:00:00,8202.55,63.45,TRADE
NSW1,2018/08/02 02:00:00,7739.78,59.13,TRADE
NSW1,2018/08/02 03:00:00,7221.96,60.21,TRADE
NSW1,2018/08/02 04:00:00,6955.83,58.91,TRADE
NSW1,2018/08/02 05:00:00,7100.47,59.60,TRADE
NSW1,2018/08/02 06:00:00,7955.69,58.14,TRADE
NSW1,2018/08/02 07:00:00,9564.89,139.75,TRADE
NSW1,2018/08/02 08:00:00,10113.4,97.84,TRADE
NSW1,2018/08/02 09:00:00,9478.19,69.02,TRADE
\NSW1,2018/08/02 10:00:00,8937.48,62.97,TRADE
NSW1,2018/08/02 11:00:00,8372.8,53.79,TRADE
